"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1360650050603.51,3414691907870.35,1316388271521.6,-9426510384.94888,1335386065871.82,701444049774.337,-5819643639995.9
"2","rsut",-320161202266.541,-3229076834366.43,3039367557882.83,-94700906211.827,-1866638663999.39,504348781608.523,-1451220375638.5
"3","rlutcs",-721909389101.531,237649481640.644,585825637996.816,-3184488572.57275,-341726196419.699,240995709399.119,-1053976780258.44
"4","rsutcs",239087720608.627,1083666582287.81,149407634872.594,64283537780.4578,-437099289149.877,567350662313.479,-306801101320.708
"5","net_rad",-1680811252870.06,185615073503.918,4355755829404.43,-104127416596.776,-531252598127.577,1205792831382.86,-7270864015634.4
