"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",116831095472.5,-8287372544778.15,6525860700094.38,-49895271665.5231,-2595331013125.86,-700070955519.713,5560382375690.08
"2","rsut",8982817624995.84,15574402543891,441781896578.445,666343949.518183,11721088492710.5,2249784143612.25,-439995608021.717
"3","rlutcs",384214931131.214,-3086318982214.67,1940908909066.98,7211909827.7907,256615957765.654,-140545924486.683,103015226670.103
"4","rsutcs",-1145038072558.93,1238904383278.51,963029929611.686,409286599160.511,-2868314887742.83,1589465275714.4,439773010799.239
"5","net_rad",9099648720468.34,7287029999112.86,6967642596672.82,-49228927716.0049,9125757479584.61,1549713188092.53,5120386767668.36
