"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",3395553044.17203,-4991854913724.8,1554874515464.79,-31753898445.131,1823108790813.11,-555665575721.701,-984594004558.75
"2","rsut",4374947192688.77,8913969041896.58,1112094209340.05,554387857796.319,3872642538927.95,1432486882129.01,2404269263216.31
"3","rlutcs",46465155758.6119,-1358409070128.96,743720538940.872,-3635748499.49243,794225627522.607,-45368433876.08,-380454700552.897
"4","rsutcs",550692080391.551,1200443815374.81,682532492738.373,433421096751.585,-504023741097.478,1978876852441.01,437300055706.887
"5","net_rad",4378342745732.94,3922114128171.77,2666968724804.84,522633959351.188,5695751329741.06,876821306407.309,1419675258657.56
