"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1196977029059.8,-1511966944541.72,8318021848716.77,-57809530293.9144,-3853221329301.55,408248956367.832,-6806087619816.76
"2","rsut",7101572728074.1,13314170221386.6,2981932516944.24,317276782341.731,12417555819076,3658145668778.43,3266317519256.07
"3","rlutcs",-484054838610.164,-1932128268173.2,2664777693986.98,22780850094.8061,-1180332641937.16,399064805419.908,-1385397501178.21
"4","rsutcs",-1219801153921.98,1661448967793.19,605720149078.693,419090265782.378,-4385400828301.92,702568840780.773,781653294639.573
"5","net_rad",5904595699014.3,11802203276844.9,11299954365661,259467252047.817,8564334489774.47,4066394625146.26,-3539770100560.69
