"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",700640005122.966,4293519053802.08,4508423598629.53,42148002251.7234,-519429510439.057,29612481884.6622,2658358554524.48
"2","rsut",-4434585310193.52,-5164433222010.15,-5603053694382.93,-514564378937.625,-2395106648634.63,-4596392265340.09,-2894523856271.16
"3","rlutcs",167798896231.861,338659994971.767,358061058397.765,12313408375.2197,-109182627015.471,50191162432.2444,573110021952.132
"4","rsutcs",-1359760706763.33,-1161624753939.26,-850394373505.819,-603417087844.884,-1935279703317.9,-2404355266527.31,-646589594428.935
"5","net_rad",-3733945305070.56,-870914168208.072,-1094630095753.4,-472416376685.902,-2914536159073.68,-4566779783455.42,-236165301746.671
