"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",495735085171.123,3817970792633.04,2154062173123.44,70433677190.9913,2114090803928.47,595264158340.786,2453019760542.29
"2","rsut",744816372120.585,4164038694083.77,2060154872216.28,198569595951.359,2611436348375.69,1062871935095.52,1690145425884.26
"3","rlutcs",156336462895.993,626188530873.924,317919448579.707,4669756837.60832,489221898301.425,100886970958.014,732814098805.684
"4","rsutcs",143997424684.245,229512048237.898,43693763278.0459,60472219557.2617,372007900565.395,106205887627.707,203590642829.55
"5","net_rad",1240551457291.71,7982009486716.82,4214217045339.72,269003273142.35,4725527152304.16,1658136093436.31,4143165186426.55
