"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",23343398795.2811,-1893883257447.26,-1057390464072.72,12483642162.8776,14436377675.768,121804870836.02,1023052819146.16
"2","rsut",251789308382.427,2018087326496.88,1623554544651.78,186977284339.001,713352562937.907,863090375861.13,143238398172.426
"3","rlutcs",22849238755.0371,-347521155744.611,-77711796968.3215,-2313861064.34576,53033824664.2793,62055888271.7113,281920659497.018
"4","rsutcs",150571825939.118,198836646365.945,195289167411.514,74427934821.7833,129743937720.091,289830464790.761,55652495671.5678
"5","net_rad",275132707177.708,124204069049.621,566164080579.052,199460926501.879,727788940613.675,984895246697.15,1166291217318.59
