"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-997754288718.661,-3708533964531.07,-2045012310893.47,-189812166637.381,-1031054192042.08,83018300493.8326,-10695719706656.9
"2","rsut",3228911085031.42,13957910851167.4,10043352244303.1,413700468590.61,873178203173.01,6693905399565.76,-1801085139906.55
"3","rlutcs",95646846993.4185,-3571780976869.1,919096460647.401,-2249370862.46353,1783638187604.83,627065070401.521,-3700960280843.01
"4","rsutcs",-1464590799481.21,1539454882278.27,-397566392589.633,323593866634.492,-5108139123478.94,740097746046.659,-637565353923.198
"5","net_rad",2231156796312.76,10249376886636.4,7998339933409.62,223888301953.229,-157875988869.069,6776923700059.59,-12496804846563.5
