"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1628973920798.48,4796910866342.16,4309592203439.8,169715725134.702,5515647828949.8,1122451743639.13,4961236049255.23
"2","rsut",964505157960.3,5743016599658.68,3817396774508.93,984093941160.922,5811670541958.41,3036184945513.68,4390737793856.19
"3","rlutcs",739749173991.551,1202720546268.78,1361036332193.75,11742838129.2424,1735690308411.13,279192724520.525,1476605339987.74
"4","rsutcs",302787883719.041,166941019465.89,338947066207.072,66665585652.7346,738229876730.716,67728719524.8097,195312427287.902
"5","net_rad",2593479078758.78,10539927466000.8,8126988977948.73,1153809666295.62,11327318370908.2,4158636689152.81,9351973843111.42
