"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1080436454991.68,-3667320434209.48,-2765342913062,-54839866332.1312,-712510160539.826,355378126603.242,-371135767557.67
"2","rsut",10879692355629.1,7162849533627.09,5133228892453.12,412058937940.551,5218412302402.16,3335896909560.61,2345334059953.75
"3","rlutcs",-204595763915.008,-1437647030995.15,-686386794951.677,-3635248620.18647,755413713906.927,-54035039658.6293,-610614053509.834
"4","rsutcs",469703495757.125,1093572283871.8,996475891867.74,654091160080.134,758841026100.957,2022972413456.92,549432318290.617
"5","net_rad",9799255900637.4,3495529099417.61,2367885979391.13,357219071608.419,4505902141862.34,3691275036163.85,1974198292396.08
