"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",680101819555.027,4335955803354.48,936360589577.481,88123974735.3766,1973265274694.13,608911488770.388,3447178214124.81
"2","rsut",2641594511466.83,4467902146717.77,2919792794135.94,495166488573.097,3126387403288.79,3390897080968.56,1955167365232.95
"3","rlutcs",220863232801.235,1193967056188.52,349023109881.807,12050605911.3976,374918562193.245,320080098778.309,626686121825.603
"4","rsutcs",157971510062.524,334399518308.623,197696244825.402,160504194599.106,368691891880.981,456350699459.114,333278225490.172
"5","net_rad",3321696331021.85,8803857950072.25,3856153383713.42,583290463308.473,5099652677982.92,3999808569738.95,5402345579357.76
