"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1408603152697.53,-6056701516234.53,-4687275599433.95,-168589404989.418,-5493211212902.97,-379733395573.766,2841534943871.12
"2","rsut",22169720829906.2,19918672775901.2,9880673474297.42,1235236875089.36,12553648853985.9,11238203668406.6,3627246212823.97
"3","rlutcs",-220098107178.993,-1780582594443.91,-987289530579.348,-19393917657.2397,-318638567792.522,-65692013560.0447,-472653524958.134
"4","rsutcs",1122286534081.57,2042713914641.76,1831122689058.59,1422784315887.12,2007874367135.62,3574516234603.25,1243006178977.22
"5","net_rad",20761117677208.6,13861971259666.6,5193397874863.47,1066647470099.95,7060437641082.97,10858470272832.8,6468781156695.09
