"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-81365396144.0545,-1006083397039.88,-795171722930.377,-95621390278.3764,-1152456446650.38,-89543801457.8783,1948735337610.27
"2","rsut",7472941744862.98,2902196603013.76,2947993257608.09,304637713337.297,2549666969214.53,1254055742725.33,76751578399.0953
"3","rlutcs",198910937979.224,-643766181164.069,208807603534.145,-15596608918.7267,142885456013.732,122062449864.319,294062461384.697
"4","rsutcs",399235146493.638,543500537453.819,376178331358.785,299883624963.77,711096884797.186,856313909733.734,374403326008.257
"5","net_rad",7391576348718.93,1896113205973.88,2152821534677.71,209016323058.921,1397210522564.15,1164511941267.45,2025486916009.36
