"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-617862269114.89,-8954907837974.69,-2503425021019.48,-105255148970.22,-134306641358.532,-26072485818.651,490356817986.784
"2","rsut",17579192857053.2,25464793451526.1,10321583566871.9,1014497191509.01,5273597644083.11,6831535514911.4,7207253364154.16
"3","rlutcs",203256854270.352,-2384119239757.67,19095602637.9185,-17176302092.8989,688731381681.855,-97029441931.6692,179918039330.002
"4","rsutcs",997220942094.404,2225694812042.03,2229406111437.29,1359648119156.91,1990391891343.3,4151256708160.99,1160336284774.1
"5","net_rad",16961330587938.3,16509885613551.4,7818158545852.37,909242042538.793,5139291002724.58,6805463029092.75,7697610182140.95
