"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",212332253197.779,-203701772060.542,6482124651233.27,-46640014511.3749,-4737835057220.48,962478296473.803,4998930882557.23
"2","rsut",5023557776323.36,1660327843137.67,-3435460018595.62,-420377982287.115,3357771865251.55,-1436536084444.6,-1101707024212.07
"3","rlutcs",282295835397.532,-1129472644275.54,989633686220.615,-15995562864.0719,-898033222241.885,312078342270.127,-81436986119.281
"4","rsutcs",-613536098452.608,1451040262062.08,317986753961.868,182709387428.262,-157726213017.543,474312336162.641,443404651748.79
"5","net_rad",5235890029521.14,1456626071077.13,3046664632637.65,-467017996798.49,-1380063191968.93,-474057787970.792,3897223858345.17
