"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1659209856994.31,6911873044188.23,4712665452700.02,351942746336.942,2257135524386.9,2888145029038.08,8279579005596.66
"2","rsut",4807469598373.83,8328927539907.41,1882440737485.06,571491441152.859,4249209767481.64,6718661362422.98,8205494291244.51
"3","rlutcs",736356655967.677,1414738375810.99,1748854712333.66,38351425709.559,1168919983765.53,846211313733.219,2029125783862.49
"4","rsutcs",1437291971433.97,920744381995.386,724609037184.056,28837363426.6466,1338714278320.42,395578672790.234,569758770849.436
"5","net_rad",6466679455368.14,15240800584095.6,6595106190185.09,923434187489.8,6506345291868.55,9606806391461.06,16485073296841.2
