"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1983018511481.45,12828565585232.6,6350711495693.22,589015129823.054,3639461005981.98,2845726166799.91,11742683613557.1
"2","rsut",6340588308215.95,12147644743656.6,4110683726505.76,1748695630233.79,2418576264452.6,7032673302408.38,12559376956227.9
"3","rlutcs",791114908084.659,1925845717490.47,3195898968919.51,53399303104.7082,2384536688243.83,1227958521343.85,2580797517063.3
"4","rsutcs",1210116818179.59,1083093733247.57,780870658196.924,93409825541.4757,1885127769605.7,902901141100.143,1440531234729.71
"5","net_rad",8323606819697.41,24976210328889.2,10461395222199,2337710760056.84,6058037270434.58,9878399469208.28,24302060569785
