"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-30899427250.2378,-423696919353.296,69151814709.5014,13980823829.5298,-997663234626.523,10829849811.0365,162705493861.146
"2","rsut",170321396838.797,1835332892408.36,-360588669957.798,-8446513836.72969,-219488043826.136,75804736364.126,-426224950569.892
"3","rlutcs",-135045137922.818,-505907249438.354,433183396055.329,-3146607840.52615,-820040381754.389,44601367502.2242,40886272726.733
"4","rsutcs",183893396241.583,771406313845.403,-703718086653.868,-48495552121.1064,-103361560690.012,-242452968159.771,-175269200801.961
"5","net_rad",139421969588.559,1411635973055.06,-291436855248.296,5534309992.80006,-1217151278452.66,86634586175.1625,-263519456708.746
