"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1814658309572.24,-453087561346.982,-2323031694292.81,51270724300.4503,-2378901630823,-291398195293.663,711036405856.205
"2","rsut",6189582491487.92,7196920072774.4,7702322239951.97,442818027047.597,786843298990.868,4031977565708.09,-1072534085963.6
"3","rlutcs",-664329140036.277,-170180491930.786,-445528468133.607,-394030576.187319,-1628702566526.71,-538099132863.447,599803838442.183
"4","rsutcs",440226676576.908,1860753460724.27,771535772427.562,433641802461.947,714284814993.082,1464285144198.27,237979489137.565
"5","net_rad",4374924181915.68,6743832511427.42,5379290545659.17,494088751348.047,-1592058331832.13,3740579370414.43,-361497680107.396
