"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",601911849766.606,1065113091682.12,2750506276735.87,88028984422.8636,2560491682820.58,513222435912.84,3896497005273.34
"2","rsut",777130363856.901,3820927089448.22,3143205606717.67,581619833755.87,3003539666925.99,1017992599077.32,2625317213790.21
"3","rlutcs",233557740744.415,339338142322.972,443890333154.477,14484052767.8396,721572578549.107,212068832447.559,1243656462564.35
"4","rsutcs",171470674072.32,397062371735.866,73583681781.788,81621377439.2662,427483739255.111,447878217216.328,256455316207.03
"5","net_rad",1379042213623.51,4886040181130.33,5893711883453.54,669648818178.734,5564031349746.57,1531215034990.16,6521814219063.54
