"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1078525393678.45,-2575488371448.89,-1662882976878.24,-159599844187.52,-1715097628161.89,-43604532307.788,2118242228430.56
"2","rsut",11742730322219.7,10625248165497,4076451663134.4,552754855483.83,5976683693276.18,2345289912354.96,2390629820447.77
"3","rlutcs",41667731516.0555,-1193118057169.3,-993784171956.979,-6849319852.72093,506314865355.639,-70751010160.7057,266969707825.307
"4","rsutcs",602975501208.16,873542222151.672,753043190321.409,566474625683.611,1369257771090.44,1616718417399.66,802007653613.216
"5","net_rad",10664204928541.2,8049759794048.12,2413568686256.16,393155011296.31,4261586065114.28,2301685380047.17,4508872048878.33
