"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",768840868248.348,4306823072484.29,-17372019489.8941,28499767271.3111,-1987675638855.03,400858340883.885,1861843828600.49
"2","rsut",-6050531780594.22,-6667700006110.85,-1111744056438.75,-563621924148.744,-436783976061.625,-2931803179084.03,-2276842055322.7
"3","rlutcs",205762500184.07,377120790855.124,-200217391041.032,1599528959.69027,-1633836208205.81,60539275172.3084,199784580069.724
"4","rsutcs",-430560959755.015,-456549355872.217,-533103048876.123,-423165941980.945,-205111324065.749,-1391583654131.57,-167998772812.783
"5","net_rad",-5281690912345.87,-2360876933626.56,-1129116075928.65,-535122156877.433,-2424459614916.66,-2530944838200.14,-414998226722.212
