"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-201635508107.89,3804345763895.21,-5941768219091.46,-61772226806.4307,-7787306491093.31,-877846924229.662,1648054957067.69
"2","rsut",4302672314533.33,6872101410560.7,4601295008828.5,-1211441465228.69,7331396307232.65,-3699300158478.31,1306158335641.34
"3","rlutcs",347339248086.572,212481019860.915,-1142708889384.17,2504140059.38577,-1117239367560.44,-436576521335.065,2140669147252.91
"4","rsutcs",426909559408.667,2224644088096.1,-829093118192.838,-6629934250.04117,1196101213333.08,342979180533.878,1157836019614.33
"5","net_rad",4101036806425.44,10676447174455.9,-1340473210262.97,-1273213692035.12,-455910183860.664,-4577147082707.97,2954213292709.02
