"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1761852788582.95,NA,4686803913119.69,83762256076.5149,13269380955912.2,1580628068333.18,14640781606819.8
"2","rsut",5437205932173.87,NA,5410142328096.53,1183461125048.45,11345082441233.9,6492879413134.24,9801915859274.93
"3","rlutcs",950703337184.369,NA,1617278004265.71,23987521513.2463,3895260334095.03,1042911153416.95,2502951569688.91
"4","rsutcs",371468579740.45,NA,387116682548.85,27987631284.9074,1484101499282.57,572504415899.093,1783664651134.21
"5","net_rad",7199058720756.82,NA,10096946241216.2,1267223381124.97,24614463397146.1,8073507481467.42,24442697466094.7
