model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,4.76E+11,6.02E+11,1.08E+12,1.63E+12,-6.05E+11,1.74E+12,0.44,0.867,shp-30p-red
CAM5ATRAS,rsut,6.61E+12,7.77E+11,1.09E+13,9.65E+11,-4.27E+12,1.24E+12,0.608,0.089,shp-30p-red
CAM5ATRAS,rlutcs,3.88E+10,2.34E+11,2.05E+11,7.40E+11,-1.66E+11,7.76E+11,0.19,1.332,shp-30p-red
CAM5ATRAS,rsutcs,7.71E+11,1.71E+11,4.70E+11,3.03E+11,3.01E+11,3.48E+11,1.64,1.119,shp-30p-red
CAM5ATRAS,net_rad,6.14E+12,9.83E+11,9.80E+12,1.89E+12,-3.66E+12,2.13E+12,0.626,0.157,shp-30p-red
CAM5ATRAS,ICR,5.33E+12,1.02E+12,9.53E+12,2.05E+12,-4.21E+12,2.30E+12,0.559,0.161,shp-30p-red
CESM1,rlut,3.25E+12,1.07E+12,3.67E+12,4.80E+12,-4.16E+11,4.91E+12,0.887,1.196,shp-30p-red
CESM1,rsut,9.49E+12,3.82E+12,7.16E+12,5.74E+12,2.33E+12,6.90E+12,1.325,1.188,shp-30p-red
CESM1,rlutcs,8.02E+11,3.39E+11,1.44E+12,1.20E+12,-6.36E+11,1.25E+12,0.558,0.523,shp-30p-red
CESM1,rsutcs,1.63E+12,3.97E+11,1.09E+12,1.67E+11,5.37E+11,4.31E+11,1.491,0.429,shp-30p-red
CESM1,net_rad,6.24E+12,3.97E+12,3.50E+12,7.48E+12,2.74E+12,8.47E+12,1.784,3.984,shp-30p-red
CESM1,ICR,5.41E+12,4.00E+12,3.84E+12,7.58E+12,1.57E+12,8.57E+12,1.408,2.969,shp-30p-red
E3SM,rlut,7.41E+11,2.75E+12,2.77E+12,4.31E+12,-2.02E+12,5.11E+12,0.268,1.079,shp-30p-red
E3SM,rsut,2.16E+12,3.14E+12,5.13E+12,3.82E+12,-2.97E+12,4.94E+12,0.421,0.688,shp-30p-red
E3SM,rlutcs,4.86E+11,4.44E+11,6.86E+11,1.36E+12,-2.00E+11,1.43E+12,0.709,1.547,shp-30p-red
E3SM,rsutcs,1.32E+12,7.36E+10,9.96E+11,3.39E+11,3.28E+11,3.47E+11,1.329,0.458,shp-30p-red
E3SM,net_rad,2.90E+12,4.18E+12,2.37E+12,5.76E+12,5.35E+11,7.11E+12,1.226,3.464,shp-30p-red
E3SM,ICR,1.09E+12,4.20E+12,2.06E+12,5.93E+12,-9.65E+11,7.26E+12,0.531,2.551,shp-30p-red
GEOS,rlut,2.28E+09,8.80E+10,5.48E+10,1.70E+11,-5.26E+10,1.91E+11,0.042,1.61,shp-30p-red
GEOS,rsut,4.03E+11,5.82E+11,4.12E+11,9.84E+11,-8.59E+09,1.14E+12,0.979,2.731,shp-30p-red
GEOS,rlutcs,4.19E+09,1.45E+10,3.64E+09,1.17E+10,5.55E+08,1.86E+10,1.153,5.453,shp-30p-red
GEOS,rsutcs,6.22E+11,8.16E+10,6.54E+11,6.67E+10,-3.23E+10,1.05E+11,0.951,0.158,shp-30p-red
GEOS,net_rad,4.01E+11,5.88E+11,3.57E+11,9.99E+11,4.40E+10,1.16E+12,1.123,3.545,shp-30p-red
GEOS,ICR,2.16E+11,5.94E+11,2.93E+11,1.00E+12,-7.68E+10,1.16E+12,0.738,3.233,shp-30p-red
GFDL,rlut,6.02E+11,2.56E+12,7.13E+11,5.52E+12,-1.10E+11,6.08E+12,0.845,7.467,shp-30p-red
GFDL,rsut,1.76E+12,3.00E+12,5.22E+12,5.81E+12,-3.46E+12,6.54E+12,0.337,0.687,shp-30p-red
GFDL,rlutcs,6.91E+11,7.22E+11,7.55E+11,1.74E+12,-6.40E+10,1.88E+12,0.915,2.31,shp-30p-red
GFDL,rsutcs,2.33E+11,4.27E+11,7.59E+11,7.38E+11,-5.26E+11,8.53E+11,0.307,0.638,shp-30p-red
GFDL,net_rad,2.36E+12,3.95E+12,4.51E+12,8.01E+12,-2.14E+12,8.93E+12,0.524,1.279,shp-30p-red
GFDL,ICR,1.44E+12,4.03E+12,2.99E+12,8.23E+12,-1.55E+12,9.17E+12,0.481,1.889,shp-30p-red
GISS,rlut,5.81E+11,5.13E+11,3.55E+11,1.12E+12,2.26E+11,1.23E+12,1.636,5.366,shp-30p-red
GISS,rsut,3.31E+12,1.02E+12,3.34E+12,3.04E+12,-3.07E+10,3.20E+12,0.991,0.952,shp-30p-red
GISS,rlutcs,1.68E+11,2.12E+11,5.40E+10,2.79E+11,1.14E+11,3.51E+11,3.109,16.538,shp-30p-red
GISS,rsutcs,2.72E+12,4.48E+11,2.02E+12,6.77E+10,6.98E+11,4.53E+11,1.345,0.226,shp-30p-red
GISS,net_rad,2.72E+12,1.14E+12,3.69E+12,3.24E+12,-9.68E+11,3.43E+12,0.738,0.717,shp-30p-red
GISS,ICR,1.71E+11,1.24E+12,1.72E+12,3.25E+12,-1.55E+12,3.48E+12,0.099,0.746,shp-30p-red
NorESM2,rlut,2.22E+12,3.90E+12,3.71E+11,4.96E+12,1.85E+12,6.31E+12,5.972,80.518,shp-30p-red
NorESM2,rsut,6.32E+11,2.63E+12,2.35E+12,4.39E+12,-1.71E+12,5.12E+12,0.27,1.228,shp-30p-red
NorESM2,rlutcs,2.25E+11,1.24E+12,6.11E+11,1.48E+12,-3.86E+11,1.93E+12,0.368,2.223,shp-30p-red
NorESM2,rsutcs,8.64E+11,2.56E+11,5.49E+11,1.95E+11,3.14E+11,3.22E+11,1.572,0.728,shp-30p-red
NorESM2,net_rad,2.85E+12,4.70E+12,1.97E+12,6.63E+12,8.74E+11,8.12E+12,1.443,5.395,shp-30p-red
NorESM2,ICR,2.21E+12,4.87E+12,2.04E+12,6.79E+12,1.74E+11,8.35E+12,1.086,4.34,shp-30p-red
