model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,1.32E+12,4.15E+11,1.50E+12,1.62E+12,-1.79E+11,1.67E+12,0.88,0.991,shp-atl-shift
CAM5ATRAS,rsut,1.18E+13,3.03E+12,2.36E+13,4.47E+12,-1.18E+13,5.40E+12,0.501,0.16,shp-atl-shift
CAM5ATRAS,rlutcs,2.53E+11,1.61E+11,2.34E+11,6.97E+11,1.86E+10,7.16E+11,1.079,3.286,shp-atl-shift
CAM5ATRAS,rsutcs,1.20E+12,1.28E+11,1.20E+12,1.73E+11,9.41E+09,2.15E+11,1.008,0.18,shp-atl-shift
CAM5ATRAS,net_rad,1.05E+13,3.06E+12,2.21E+13,4.76E+12,-1.16E+13,5.66E+12,0.475,0.172,shp-atl-shift
CAM5ATRAS,ICR,9.55E+12,3.07E+12,2.12E+13,4.81E+12,-1.16E+13,5.70E+12,0.452,0.178,shp-atl-shift
CESM1,rlut,2.82E+12,5.79E+12,6.45E+12,3.70E+12,-3.63E+12,6.87E+12,0.437,0.931,shp-atl-shift
CESM1,rsut,6.60E+12,6.28E+12,2.12E+13,2.88E+12,-1.46E+13,6.91E+12,0.311,0.299,shp-atl-shift
CESM1,rlutcs,4.79E+11,1.62E+12,1.90E+12,1.45E+12,-1.42E+12,2.17E+12,0.252,0.875,shp-atl-shift
CESM1,rsutcs,1.87E+12,4.12E+11,2.18E+12,3.82E+11,-3.09E+11,5.62E+11,0.858,0.242,shp-atl-shift
CESM1,net_rad,3.78E+12,8.54E+12,1.48E+13,4.69E+12,-1.10E+13,9.74E+12,0.256,0.584,shp-atl-shift
CESM1,ICR,1.44E+12,8.70E+12,1.45E+13,4.92E+12,-1.31E+13,1.00E+13,0.099,0.602,shp-atl-shift
E3SM,rlut,1.76E+12,2.00E+12,4.46E+12,3.88E+12,-2.70E+12,4.37E+12,0.395,0.565,shp-atl-shift
E3SM,rsut,3.89E+12,2.90E+12,9.40E+12,3.35E+12,-5.51E+12,4.43E+12,0.413,0.342,shp-atl-shift
E3SM,rlutcs,5.14E+11,6.08E+11,9.39E+11,1.14E+12,-4.25E+11,1.30E+12,0.547,0.929,shp-atl-shift
E3SM,rsutcs,1.38E+12,2.44E+11,1.74E+12,2.43E+11,-3.61E+11,3.44E+11,0.793,0.178,shp-atl-shift
E3SM,net_rad,2.13E+12,3.53E+12,4.94E+12,5.13E+12,-2.81E+12,6.22E+12,0.43,0.842,shp-atl-shift
E3SM,ICR,1.26E+12,3.59E+12,4.14E+12,5.26E+12,-2.88E+12,6.37E+12,0.304,0.949,shp-atl-shift
GEOS,rlut,7.03E+10,1.89E+11,1.71E+11,1.45E+11,-1.00E+11,2.38E+11,0.412,1.16,shp-atl-shift
GEOS,rsut,6.25E+11,7.13E+11,1.25E+12,6.74E+11,-6.27E+11,9.82E+11,0.499,0.63,shp-atl-shift
GEOS,rlutcs,2.92E+09,1.82E+10,1.96E+10,1.03E+10,-1.67E+10,2.09E+10,0.149,0.931,shp-atl-shift
GEOS,rsutcs,9.15E+11,7.07E+10,1.44E+12,1.51E+11,-5.26E+11,1.67E+11,0.635,0.083,shp-atl-shift
GEOS,net_rad,6.95E+11,7.38E+11,1.08E+12,6.89E+11,-3.86E+11,1.01E+12,0.643,0.797,shp-atl-shift
GEOS,ICR,2.17E+11,7.42E+11,3.41E+11,7.06E+11,-1.23E+11,1.02E+12,0.638,2.548,shp-atl-shift
GFDL,rlut,6.45E+11,3.50E+12,5.42E+12,3.73E+12,-4.77E+12,5.12E+12,0.119,0.652,shp-atl-shift
GFDL,rsut,6.11E+12,2.26E+12,5.27E+12,6.29E+12,8.35E+11,6.69E+12,1.158,1.448,shp-atl-shift
GFDL,rlutcs,5.58E+11,1.02E+12,3.15E+11,1.19E+12,2.43E+11,1.57E+12,1.773,7.439,shp-atl-shift
GFDL,rsutcs,3.36E+12,5.24E+11,1.98E+12,7.45E+11,1.38E+12,9.11E+11,1.698,0.692,shp-atl-shift
GFDL,net_rad,5.46E+12,4.17E+12,1.44E+11,7.32E+12,5.32E+12,8.42E+12,37.923,1925.937,shp-atl-shift
GFDL,ICR,2.66E+12,4.32E+12,1.81E+12,7.45E+12,8.51E+11,8.61E+12,1.471,6.511,shp-atl-shift
GISS,rlut,1.97E+11,5.29E+11,4.08E+11,1.38E+12,-2.10E+11,1.48E+12,0.484,2.092,shp-atl-shift
GISS,rsut,5.98E+12,1.17E+12,1.21E+13,3.07E+12,-6.08E+12,3.29E+12,0.496,0.159,shp-atl-shift
GISS,rlutcs,5.27E+10,2.20E+11,7.05E+10,3.43E+11,-1.78E+10,4.07E+11,0.747,4.79,shp-atl-shift
GISS,rsutcs,3.20E+12,4.18E+11,3.84E+12,2.38E+11,-6.39E+11,4.81E+11,0.834,0.121,shp-atl-shift
GISS,net_rad,6.18E+12,1.29E+12,1.17E+13,3.37E+12,-5.48E+12,3.61E+12,0.53,0.189,shp-atl-shift
GISS,ICR,3.04E+12,1.37E+12,7.89E+12,3.40E+12,-4.86E+12,3.66E+12,0.385,0.24,shp-atl-shift
NorESM2,rlut,4.47E+11,4.82E+12,2.84E+12,2.42E+12,-2.39E+12,5.40E+12,0.157,1.704,shp-atl-shift
NorESM2,rsut,5.26E+12,1.71E+12,3.63E+12,3.44E+12,1.63E+12,3.84E+12,1.448,1.449,shp-atl-shift
NorESM2,rlutcs,5.68E+11,8.85E+11,4.72E+11,3.95E+11,9.53E+10,9.69E+11,1.202,2.125,shp-atl-shift
NorESM2,rsutcs,9.50E+11,3.81E+11,1.24E+12,1.47E+11,-2.93E+11,4.08E+11,0.764,0.319,shp-atl-shift
NorESM2,net_rad,5.70E+12,5.12E+12,6.47E+12,4.20E+12,-7.69E+11,6.62E+12,0.881,0.976,shp-atl-shift
NorESM2,ICR,4.18E+12,5.21E+12,5.70E+12,4.22E+12,-1.52E+12,6.70E+12,0.734,1.063,shp-atl-shift
