model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,7.69E+11,9.88E+11,1.15E+12,2.60E+12,-3.82E+11,2.78E+12,0.668,1.737,shp-atl-shift-1950
CAM5ATRAS,rsut,6.05E+12,2.94E+12,1.25E+13,6.27E+12,-6.46E+12,6.93E+12,0.484,0.338,shp-atl-shift-1950
CAM5ATRAS,rlutcs,2.06E+11,2.66E+11,43805455588,9.71E+11,1.62E+11,1.01E+12,4.697,104.303,shp-atl-shift-1950
CAM5ATRAS,rsutcs,4.31E+11,2.60E+11,6.42E+11,2.42E+11,-2.12E+11,3.55E+11,0.67,0.477,shp-atl-shift-1950
CAM5ATRAS,net_rad,5.28E+12,3.10E+12,1.14E+13,6.79E+12,-6.08E+12,7.47E+12,0.465,0.39,shp-atl-shift-1950
CAM5ATRAS,ICR,5.06E+12,3.13E+12,1.07E+13,6.86E+12,-5.62E+12,7.54E+12,0.474,0.422,shp-atl-shift-1950
CESM1,rlut,4.31E+12,2.14E+12,2.74E+12,8.22E+11,1.56E+12,2.30E+12,1.57,0.912,shp-atl-shift-1950
CESM1,rsut,6.67E+12,3.45E+12,1.13E+13,4.08E+12,-4.65E+12,5.34E+12,0.589,0.371,shp-atl-shift-1950
CESM1,rlutcs,3.77E+11,8.28E+11,1.27E+12,9.77E+11,-8.94E+11,1.28E+12,0.297,0.69,shp-atl-shift-1950
CESM1,rsutcs,4.57E+11,3.47E+11,9.31E+11,1.98E+11,-4.74E+11,3.99E+11,0.491,0.387,shp-atl-shift-1950
CESM1,net_rad,2.36E+12,4.06E+12,8.58E+12,4.16E+12,-6.21E+12,5.81E+12,0.275,0.492,shp-atl-shift-1950
CESM1,ICR,2.28E+12,4.16E+12,8.92E+12,4.28E+12,-6.63E+12,5.96E+12,0.256,0.482,shp-atl-shift-1950
E3SM,rlut,17372019490,9.61E+11,1.58E+12,3.38E+12,-1.56E+12,3.52E+12,0.011,0.608,shp-atl-shift-1950
E3SM,rsut,1.11E+12,1.63E+12,3.88E+12,3.34E+12,-2.77E+12,3.72E+12,0.287,0.487,shp-atl-shift-1950
E3SM,rlutcs,2.00E+11,4.54E+11,9.45E+11,1.31E+12,-7.45E+11,1.38E+12,0.212,0.562,shp-atl-shift-1950
E3SM,rsutcs,5.33E+11,1.02E+11,7.16E+11,3.10E+11,-1.83E+11,3.26E+11,0.744,0.352,shp-atl-shift-1950
E3SM,net_rad,1.13E+12,1.89E+12,2.30E+12,4.76E+12,-1.17E+12,5.12E+12,0.492,1.311,shp-atl-shift-1950
E3SM,ICR,3.96E+11,1.95E+12,2.52E+12,4.94E+12,-2.13E+12,5.31E+12,0.157,0.83,shp-atl-shift-1950
GEOS,rlut,28499767271,1.21E+11,1.61E+11,2.20E+11,-1.33E+11,2.51E+11,0.176,0.788,shp-atl-shift-1950
GEOS,rsut,5.64E+11,3.21E+11,5.60E+11,3.80E+11,3765180948,4.97E+11,1.007,0.891,shp-atl-shift-1950
GEOS,rlutcs,1599528960,12330472490,6910442448,26712757243,-5310913489,2.94E+10,0.231,1.996,shp-atl-shift-1950
GEOS,rsutcs,4.23E+11,53805210353,5.74E+11,76388821530,-1.50E+11,9.34E+10,0.738,0.136,shp-atl-shift-1950
GEOS,net_rad,5.35E+11,3.43E+11,3.98E+11,4.39E+11,1.37E+11,5.57E+11,1.343,1.712,shp-atl-shift-1950
GEOS,ICR,1.14E+11,3.47E+11,1.68E+11,4.46E+11,-54797828552,5.65E+11,0.675,2.73,shp-atl-shift-1950
GFDL,rlut,1.99E+12,8.66E+11,1.69E+12,5.30E+12,3.01E+11,5.37E+12,1.179,3.743,shp-atl-shift-1950
GFDL,rsut,4.37E+11,8.03E+11,5.89E+12,6.49E+12,-5.45E+12,6.54E+12,0.074,0.159,shp-atl-shift-1950
GFDL,rlutcs,1.63E+12,6.54E+11,5.01E+11,1.88E+12,1.13E+12,1.99E+12,3.262,12.284,shp-atl-shift-1950
GFDL,rsutcs,2.05E+11,1.11E+12,1.35E+12,3.08E+11,-1.14E+12,1.15E+12,0.152,0.822,shp-atl-shift-1950
GFDL,net_rad,2.42E+12,1.18E+12,4.20E+12,8.38E+12,-1.78E+12,8.46E+12,0.577,1.186,shp-atl-shift-1950
GFDL,ICR,5.86E+11,1.75E+12,2.35E+12,8.59E+12,-1.76E+12,8.77E+12,0.249,1.176,shp-atl-shift-1950
GISS,rlut,4.01E+11,7.35E+11,46827036091,9.32E+11,3.54E+11,1.19E+12,8.56,171.046,shp-atl-shift-1950
GISS,rsut,2.93E+12,2.66E+12,2.52E+12,1.94E+12,4.14E+11,3.29E+12,1.164,1.386,shp-atl-shift-1950
GISS,rlutcs,60539275172,4.43E+11,75966711018,3.28E+11,-15427435846,5.51E+11,0.797,6.775,shp-atl-shift-1950
GISS,rsutcs,1.39E+12,2.38E+11,1.74E+12,1.76E+11,-3.44E+11,2.96E+11,0.802,0.16,shp-atl-shift-1950
GISS,net_rad,2.53E+12,2.76E+12,2.47E+12,2.15E+12,59502806658,3.50E+12,1.024,1.43,shp-atl-shift-1950
