model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,48748301928,6.60E+11,81365396144,1.35E+12,-32617094216,1.50E+12,0.599,12.834,shp-ind-shift-1950
CAM5ATRAS,rsut,8.41E+11,1.11E+12,7.47E+12,4.89E+12,-6.63E+12,5.02E+12,0.113,0.165,shp-ind-shift-1950
CAM5ATRAS,rlutcs,28822067335,3.74E+11,1.99E+11,3.55E+11,-1.70E+11,5.16E+11,0.145,1.9,shp-ind-shift-1950
CAM5ATRAS,rsutcs,2.48E+11,1.66E+11,3.99E+11,2.14E+11,-1.51E+11,2.70E+11,0.622,0.532,shp-ind-shift-1950
CAM5ATRAS,net_rad,7.93E+11,1.29E+12,7.39E+12,5.07E+12,-6.60E+12,5.24E+12,0.107,0.189,shp-ind-shift-1950
CAM5ATRAS,ICR,5.73E+11,1.35E+12,6.79E+12,5.09E+12,-6.22E+12,5.27E+12,0.084,0.209,shp-ind-shift-1950
CESM1,rlut,2.65E+12,2.46E+12,1.01E+12,5.08E+12,1.64E+12,5.64E+12,2.632,13.502,shp-ind-shift-1950
CESM1,rsut,2.31E+12,3.65E+12,2.90E+12,4.77E+12,-5.87E+11,6.01E+12,0.798,1.817,shp-ind-shift-1950
CESM1,rlutcs,8.18E+11,6.75E+11,6.44E+11,1.20E+12,1.74E+11,1.38E+12,1.27,2.587,shp-ind-shift-1950
CESM1,rsutcs,4.54E+11,4.25E+11,5.44E+11,2.78E+11,-89315568243,5.08E+11,0.836,0.892,shp-ind-shift-1950
CESM1,net_rad,3.33E+11,4.41E+12,1.90E+12,6.96E+12,-1.56E+12,8.24E+12,0.176,2.412,shp-ind-shift-1950
CESM1,ICR,30411517650,4.48E+12,2.00E+12,7.07E+12,-1.97E+12,8.37E+12,0.015,2.244,shp-ind-shift-1950
E3SM,rlut,5.70E+11,1.41E+12,7.95E+11,3.74E+12,-2.25E+11,4.00E+12,0.717,3.814,shp-ind-shift-1950
E3SM,rsut,1.32E+12,1.54E+12,2.95E+12,2.18E+12,-1.62E+12,2.67E+12,0.449,0.618,shp-ind-shift-1950
E3SM,rlutcs,2.71E+11,6.58E+11,2.09E+11,1.45E+12,62648141398,1.59E+12,1.3,9.548,shp-ind-shift-1950
E3SM,rsutcs,1.93E+11,2.16E+11,3.76E+11,2.74E+11,-1.83E+11,3.48E+11,0.513,0.684,shp-ind-shift-1950
E3SM,net_rad,7.54E+11,2.09E+12,2.15E+12,4.33E+12,-1.40E+12,4.81E+12,0.35,1.198,shp-ind-shift-1950
E3SM,ICR,8.32E+11,2.20E+12,1.57E+12,4.57E+12,-7.36E+11,5.07E+12,0.531,2.089,shp-ind-shift-1950
GEOS,rlut,35004708848,1.48E+11,95621390278,3.10E+11,-60616681430,3.43E+11,0.366,1.952,shp-ind-shift-1950
GEOS,rsut,3.77E+11,5.46E+11,3.05E+11,6.62E+11,72485843206,8.58E+11,1.238,3.232,shp-ind-shift-1950
GEOS,rlutcs,3422127153,10714623651,15596608919,22831026364,-12174481766,2.52E+10,0.219,0.758,shp-ind-shift-1950
GEOS,rsutcs,1.70E+11,38531187038,3.00E+11,31035685551,-1.30E+11,4.95E+10,0.566,0.141,shp-ind-shift-1950
GEOS,net_rad,3.42E+11,5.66E+11,2.09E+11,7.31E+11,1.33E+11,9.24E+11,1.637,6.33,shp-ind-shift-1950
GEOS,ICR,5.09E+11,5.68E+11,75270692986,7.32E+11,4.33E+11,9.26E+11,6.756,66.099,shp-ind-shift-1950
GFDL,rlut,52574444206,1.15E+12,1.15E+12,2.25E+12,-1.10E+12,2.52E+12,0.046,0.998,shp-ind-shift-1950
GFDL,rsut,3.13E+11,2.52E+12,2.55E+12,1.32E+12,-2.24E+12,2.84E+12,0.123,0.989,shp-ind-shift-1950
