model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,2.00E+11,6.36E+11,3.41E+11,1.89E+12,-1.41E+11,2.00E+12,0.586,3.755,shp-60p-red-1950
CAM5ATRAS,rsut,6.09E+12,1.97E+12,1.14E+13,2.69E+12,-5.30E+12,3.34E+12,0.535,0.214,shp-60p-red-1950
CAM5ATRAS,rlutcs,13907115985,1.89E+11,3.64E+11,7.11E+11,-3.50E+11,7.36E+11,0.038,0.526,shp-60p-red-1950
CAM5ATRAS,rsutcs,9.10E+11,64825723123,6.67E+11,3.92E+11,2.43E+11,3.97E+11,1.364,0.808,shp-60p-red-1950
CAM5ATRAS,net_rad,5.89E+12,2.07E+12,1.11E+13,3.29E+12,-5.16E+12,3.89E+12,0.533,0.246,shp-60p-red-1950
CAM5ATRAS,ICR,5.00E+12,2.08E+12,1.00E+13,3.39E+12,-5.02E+12,3.98E+12,0.499,0.268,shp-60p-red-1950
CESM1,rlut,NA,NA,NA,NA,NA,NA,NA,NA,shp-60p-red-1950
CESM1,rsut,NA,NA,NA,NA,NA,NA,NA,NA,shp-60p-red-1950
CESM1,rlutcs,NA,NA,NA,NA,NA,NA,NA,NA,shp-60p-red-1950
CESM1,rsutcs,NA,NA,NA,NA,NA,NA,NA,NA,shp-60p-red-1950
CESM1,net_rad,NA,NA,NA,NA,NA,NA,NA,NA,shp-60p-red-1950
CESM1,ICR,NA,NA,NA,NA,NA,NA,NA,NA,shp-60p-red-1950
E3SM,rlut,1.61E+12,1.73E+12,2.06E+12,1.06E+12,-4.50E+11,2.03E+12,0.782,0.931,shp-60p-red-1950
E3SM,rsut,4.46E+12,2.14E+12,6.25E+12,3.80E+12,-1.79E+12,4.36E+12,0.713,0.552,shp-60p-red-1950
E3SM,rlutcs,58777984150,5.69E+11,1.58E+11,8.02E+11,-99082552543,9.83E+11,0.372,4.072,shp-60p-red-1950
E3SM,rsutcs,9.38E+11,1.11E+11,9.56E+11,3.22E+11,-17746561032,3.41E+11,0.981,0.351,shp-60p-red-1950
E3SM,net_rad,2.84E+12,2.75E+12,4.19E+12,3.94E+12,-1.34E+12,4.81E+12,0.68,0.917,shp-60p-red-1950
E3SM,ICR,1.97E+12,2.81E+12,3.39E+12,4.03E+12,-1.42E+12,4.92E+12,0.58,1.08,shp-60p-red-1950
GEOS,rlut,25941075979,1.16E+11,1.24E+11,3.28E+11,-97933408949,3.48E+11,0.209,1.089,shp-60p-red-1950
GEOS,rsut,2.92E+11,1.03E+11,6.91E+11,5.78E+11,-3.99E+11,5.87E+11,0.422,0.383,shp-60p-red-1950
GEOS,rlutcs,4713957234,13698777411,14404769024,20087323976,-9690811790,2.43E+10,0.327,1.055,shp-60p-red-1950
GEOS,rsutcs,5.45E+11,76940170895,5.49E+11,79736002286,-4438974607,1.11E+11,0.992,0.201,shp-60p-red-1950
GEOS,net_rad,2.66E+11,1.55E+11,5.67E+11,6.65E+11,-3.01E+11,6.82E+11,0.469,0.613,shp-60p-red-1950
GEOS,ICR,2.74E+11,1.74E+11,32333336527,6.70E+11,2.42E+11,6.92E+11,8.484,175.773,shp-60p-red-1950
GFDL,rlut,7.37E+11,3.42E+12,1.00E+12,4.80E+12,-2.65E+11,5.89E+12,0.735,4.902,shp-60p-red-1950
GFDL,rsut,2.19E+12,2.03E+12,5.00E+12,5.57E+12,-2.82E+12,5.93E+12,0.437,0.633,shp-60p-red-1950
GFDL,rlutcs,35301191973,8.98E+11,83333000146,1.27E+12,-48031808173,1.56E+12,0.424,12.569,shp-60p-red-1950
GFDL,rsutcs,8.60E+11,7.68E+11,1.07E+12,2.14E+11,-2.14E+11,7.98E+11,0.801,0.732,shp-60p-red-1950
GFDL,net_rad,2.92E+12,3.98E+12,4.00E+12,7.36E+12,-1.08E+12,8.36E+12,0.73,1.67,shp-60p-red-1950
GFDL,ICR,2.10E+12,4.15E+12,2.84E+12,7.47E+12,-7.46E+11,8.54E+12,0.738,2.425,shp-60p-red-1950
GISS,rlut,3.48E+11,5.25E+11,1.05E+12,1.29E+12,-7.06E+11,1.39E+12,0.33,0.641,shp-60p-red-1950
GISS,rsut,2.47E+12,1.95E+12,3.33E+12,2.28E+12,-8.66E+11,3.00E+12,0.74,0.774,shp-60p-red-1950
GISS,rlutcs,54172561641,3.58E+11,2.33E+11,5.57E+11,-1.79E+11,6.62E+11,0.232,1.632,shp-60p-red-1950
GISS,rsutcs,2.07E+12,1.49E+11,1.85E+12,1.67E+11,2.22E+11,2.24E+11,1.12,0.13,shp-60p-red-1950
GISS,net_rad,2.81E+12,2.02E+12,2.28E+12,2.62E+12,5.37E+11,3.31E+12,1.236,1.676,shp-60p-red-1950
GISS,ICR,8.00E+11,2.05E+12,6.64E+11,2.69E+12,1.36E+11,3.38E+12,1.204,5.768,shp-60p-red-1950
NorESM2,rlut,1.61E+12,4.26E+12,4.05E+12,5.19E+12,-2.44E+12,6.71E+12,0.399,1.168,shp-60p-red-1950
NorESM2,rsut,1.67E+12,4.41E+12,5.84E+11,4.88E+12,1.08E+12,6.58E+12,2.855,24.984,shp-60p-red-1950
NorESM2,rlutcs,1.86E+11,1.05E+12,9.11E+11,1.30E+12,-7.25E+11,1.67E+12,0.204,1.185,shp-60p-red-1950
NorESM2,rsutcs,6.15E+11,1.87E+11,7.49E+11,2.99E+11,-1.34E+11,3.53E+11,0.822,0.413,shp-60p-red-1950
NorESM2,net_rad,3.28E+12,6.13E+12,4.63E+12,7.12E+12,-1.35E+12,9.39E+12,0.708,1.713,shp-60p-red-1950
NorESM2,ICR,2.85E+12,6.22E+12,2.97E+12,7.24E+12,-1.20E+11,9.55E+12,0.96,3.136,shp-60p-red-1950
