model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
GISS,rlut,5.56E+11,3.86E+11,2.22E+11,1.05E+12,3.34E+11,1.12E+12,2.507,12.011,shp-ind-shift
GISS,rsut,1.43E+12,2.04E+12,5.30E+12,5.19E+12,-3.87E+12,5.58E+12,0.27,0.467,shp-ind-shift
GISS,rlutcs,4.54E+10,2.60E+11,1.41E+11,3.90E+11,-9.55E+10,4.69E+11,0.322,2.049,shp-ind-shift
GISS,rsutcs,1.98E+12,3.21E+11,1.87E+12,1.88E+11,1.08E+11,3.72E+11,1.058,0.202,shp-ind-shift
GISS,net_rad,8.77E+11,2.08E+12,5.08E+12,5.30E+12,-4.20E+12,5.69E+12,0.173,0.447,shp-ind-shift
GISS,ICR,1.06E+12,2.12E+12,3.35E+12,5.32E+12,-2.29E+12,5.72E+12,0.315,0.806,shp-ind-shift
NorESM2,rlut,9.85E+11,3.73E+12,3.31E+12,2.82E+12,-2.32E+12,4.67E+12,0.298,1.157,shp-ind-shift
NorESM2,rsut,2.40E+12,3.13E+12,5.01E+11,3.21E+12,1.90E+12,4.48E+12,4.799,31.359,shp-ind-shift
NorESM2,rlutcs,3.80E+11,1.16E+12,2.11E+11,1.12E+12,1.69E+11,1.61E+12,1.802,11.022,shp-ind-shift
NorESM2,rsutcs,4.37E+11,3.84E+11,5.79E+11,1.31E+11,-1.42E+11,4.06E+11,0.755,0.684,shp-ind-shift
NorESM2,net_rad,1.42E+12,4.87E+12,3.81E+12,4.27E+12,-2.39E+12,6.47E+12,0.373,1.345,shp-ind-shift
NorESM2,ICR,1.36E+12,5.02E+12,3.44E+12,4.41E+12,-2.08E+12,6.68E+12,0.396,1.545,shp-ind-shift
