model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,3.40E+09,9.44E+11,7.63E+11,7.95E+11,-7.60E+11,1.23E+12,0.004,1.237,shp-ind-shift
CAM5ATRAS,rsut,4.37E+12,3.01E+12,1.09E+13,4.33E+12,-6.49E+12,5.27E+12,0.403,0.32,shp-ind-shift
CAM5ATRAS,rlutcs,4.65E+10,3.48E+11,8.27E+10,5.36E+11,-3.63E+10,6.39E+11,0.562,5.566,shp-ind-shift
CAM5ATRAS,rsutcs,5.51E+11,2.88E+11,6.28E+11,1.26E+11,-7.74E+10,3.14E+11,0.877,0.491,shp-ind-shift
CAM5ATRAS,net_rad,4.38E+12,3.16E+12,1.01E+13,4.40E+12,-5.73E+12,5.42E+12,0.433,0.365,shp-ind-shift
CAM5ATRAS,ICR,3.78E+12,3.19E+12,9.40E+12,4.44E+12,-5.61E+12,5.46E+12,0.402,0.389,shp-ind-shift
CESM1,rlut,4.99E+12,3.50E+12,8.04E+12,6.64E+12,-3.05E+12,7.51E+12,0.621,0.672,shp-ind-shift
CESM1,rsut,8.91E+12,3.98E+12,1.29E+13,5.99E+12,-3.96E+12,7.19E+12,0.692,0.446,shp-ind-shift
CESM1,rlutcs,1.36E+12,1.04E+12,1.92E+12,1.68E+12,-5.60E+11,1.97E+12,0.708,0.823,shp-ind-shift
CESM1,rsutcs,1.20E+12,4.53E+11,1.22E+12,3.95E+11,-1.72E+10,6.01E+11,0.986,0.49,shp-ind-shift
CESM1,net_rad,3.92E+12,5.30E+12,4.83E+12,8.95E+12,-9.09E+11,1.04E+13,0.812,1.861,shp-ind-shift
CESM1,ICR,4.08E+12,5.42E+12,5.53E+12,9.11E+12,-1.45E+12,1.06E+13,0.738,1.561,shp-ind-shift
E3SM,rlut,1.55E+12,1.55E+12,9.73E+11,3.24E+12,5.82E+11,3.60E+12,1.598,5.563,shp-ind-shift
E3SM,rsut,1.11E+12,2.66E+12,6.64E+12,3.81E+12,-5.53E+12,4.65E+12,0.167,0.412,shp-ind-shift
E3SM,rlutcs,7.44E+11,5.77E+11,6.02E+11,1.34E+12,1.42E+11,1.46E+12,1.236,2.925,shp-ind-shift
E3SM,rsutcs,6.83E+11,1.44E+11,1.02E+12,3.42E+11,-3.40E+11,3.71E+11,0.668,0.264,shp-ind-shift
E3SM,net_rad,2.67E+12,3.08E+12,5.67E+12,5.00E+12,-3.00E+12,5.87E+12,0.47,0.683,shp-ind-shift
E3SM,ICR,1.24E+12,3.14E+12,4.05E+12,5.19E+12,-2.81E+12,6.07E+12,0.307,0.869,shp-ind-shift
GEOS,rlut,3.18E+10,7.02E+10,7.27E+10,1.75E+11,-4.10E+10,1.88E+11,0.437,1.425,shp-ind-shift
GEOS,rsut,5.54E+11,4.01E+11,1.50E+11,2.74E+11,4.05E+11,4.86E+11,3.705,7.296,shp-ind-shift
GEOS,rlutcs,3.64E+09,1.19E+10,3.31E+09,6.43E+09,3.28E+08,1.35E+10,1.099,4.187,shp-ind-shift
GEOS,rsutcs,4.33E+11,4.93E+10,7.06E+11,8.22E+10,-2.73E+11,9.59E+10,0.614,0.1,shp-ind-shift
GEOS,net_rad,5.23E+11,4.07E+11,7.69E+10,3.25E+11,4.46E+11,5.21E+11,6.796,29.214,shp-ind-shift
GEOS,ICR,9.28E+10,4.10E+11,6.26E+11,3.35E+11,-5.33E+11,5.30E+11,0.148,0.66,shp-ind-shift
GFDL,rlut,1.82E+12,2.29E+12,3.54E+12,3.11E+12,-1.72E+12,3.86E+12,0.515,0.789,shp-ind-shift
GFDL,rsut,3.87E+12,3.13E+12,5.27E+12,6.29E+12,-1.40E+12,7.03E+12,0.734,1.058,shp-ind-shift
GFDL,rlutcs,7.94E+11,9.27E+11,9.97E+10,6.65E+11,6.95E+11,1.14E+12,7.966,53.961,shp-ind-shift
GFDL,rsutcs,5.04E+11,8.75E+11,5.75E+10,5.08E+11,4.47E+11,1.01E+12,8.771,79.053,shp-ind-shift
GFDL,net_rad,5.70E+12,3.87E+12,1.73E+12,7.02E+12,3.96E+12,8.02E+12,3.285,13.493,shp-ind-shift
GFDL,ICR,5.41E+12,4.08E+12,1.78E+12,7.07E+12,3.63E+12,8.16E+12,3.044,12.336,shp-ind-shift
