model,variable,NH-atlantic,NH-atlantic.sd,NH-pacific,NH-pacific.sd,difference,diff.sd,ratio,ratio.sd,scenario
CAM5ATRAS,rlut,8.60E+11,6.80E+11,6.18E+11,8.11E+11,2.43E+11,1.06E+12,1.393,2.134,shp-60p-red
CAM5ATRAS,rsut,1.48E+13,2.64E+12,1.76E+13,3.40E+12,-2.81E+12,4.31E+12,0.84,0.221,shp-60p-red
CAM5ATRAS,rlutcs,6.53E+10,2.21E+11,2.03E+11,3.98E+11,-1.38E+11,4.55E+11,0.321,1.255,shp-60p-red
CAM5ATRAS,rsutcs,1.75E+12,1.58E+11,9.97E+11,3.84E+11,7.55E+11,4.15E+11,1.757,0.695,shp-60p-red
CAM5ATRAS,net_rad,1.39E+13,2.73E+12,1.70E+13,3.50E+12,-3.05E+12,4.43E+12,0.82,0.233,shp-60p-red
CAM5ATRAS,ICR,1.22E+13,2.74E+12,1.58E+13,3.54E+12,-3.53E+12,4.48E+12,0.776,0.246,shp-60p-red
CESM1,rlut,7.84E+12,4.34E+12,8.95E+12,4.43E+12,-1.12E+12,6.20E+12,0.875,0.65,shp-60p-red
CESM1,rsut,1.95E+13,4.47E+12,2.55E+13,4.83E+12,-6.00E+12,6.58E+12,0.765,0.228,shp-60p-red
CESM1,rlutcs,1.08E+12,1.19E+12,2.38E+12,1.39E+12,-1.30E+12,1.83E+12,0.454,0.566,shp-60p-red
CESM1,rsutcs,2.73E+12,3.34E+11,2.23E+12,2.03E+11,5.01E+11,3.91E+11,1.225,0.187,shp-60p-red
CESM1,net_rad,1.16E+13,6.23E+12,1.65E+13,6.55E+12,-4.88E+12,9.04E+12,0.704,0.469,shp-60p-red
CESM1,ICR,9.99E+12,6.35E+12,1.67E+13,6.70E+12,-6.68E+12,9.23E+12,0.599,0.451,shp-60p-red
E3SM,rlut,7.87E+11,9.36E+11,2.50E+12,2.84E+12,-1.72E+12,2.99E+12,0.314,0.517,shp-60p-red
E3SM,rsut,7.06E+12,2.92E+12,1.03E+13,6.02E+12,-3.27E+12,6.69E+12,0.684,0.489,shp-60p-red
E3SM,rlutcs,5.17E+10,3.49E+11,1.91E+10,1.29E+12,3.26E+10,1.34E+12,2.705,184.137,shp-60p-red
E3SM,rsutcs,2.52E+12,1.98E+11,2.23E+12,3.21E+11,2.89E+11,3.77E+11,1.13,0.185,shp-60p-red
E3SM,net_rad,6.27E+12,3.07E+12,7.82E+12,6.66E+12,-1.55E+12,7.33E+12,0.802,0.787,shp-60p-red
E3SM,ICR,3.80E+12,3.09E+12,5.57E+12,6.79E+12,-1.77E+12,7.46E+12,0.683,1,shp-60p-red
GEOS,rlut,8.91E+10,8.81E+10,1.05E+11,2.33E+11,-1.61E+10,2.49E+11,0.847,2.052,shp-60p-red
GEOS,rsut,1.23E+12,4.95E+11,1.01E+12,4.18E+11,2.20E+11,6.48E+11,1.216,0.7,shp-60p-red
GEOS,rlutcs,1.83E+10,1.21E+10,1.72E+10,8.43E+09,1.10E+09,1.47E+10,1.064,0.875,shp-60p-red
GEOS,rsutcs,1.32E+12,1.61E+11,1.36E+12,1.14E+11,-3.67E+10,1.97E+11,0.973,0.144,shp-60p-red
GEOS,net_rad,1.14E+12,5.03E+11,9.09E+11,4.79E+11,2.36E+11,6.94E+11,1.259,0.864,shp-60p-red
GEOS,ICR,1.60E+11,5.28E+11,4.33E+11,4.92E+11,-2.73E+11,7.22E+11,0.369,1.289,shp-60p-red
GFDL,rlut,2.32E+12,1.97E+12,1.34E+11,5.17E+12,2.19E+12,5.53E+12,17.298,665.816,shp-60p-red
GFDL,rsut,3.87E+12,3.13E+12,5.27E+12,6.29E+12,-1.40E+12,7.03E+12,0.734,1.058,shp-60p-red
GFDL,rlutcs,6.81E+11,3.75E+11,6.89E+11,1.28E+12,-7.64E+09,1.33E+12,0.989,1.916,shp-60p-red
GFDL,rsutcs,1.79E+12,3.69E+11,1.99E+12,6.71E+11,-2.04E+11,7.66E+11,0.897,0.355,shp-60p-red
GFDL,net_rad,6.20E+12,3.70E+12,5.14E+12,8.14E+12,1.06E+12,8.94E+12,1.206,2.042,shp-60p-red
GFDL,ICR,3.73E+12,3.73E+12,2.46E+12,8.27E+12,1.27E+12,9.08E+12,1.516,5.317,shp-60p-red
GISS,rlut,9.71E+11,6.09E+11,2.61E+10,1.59E+12,9.45E+11,1.70E+12,37.245,2268.701,shp-60p-red
GISS,rsut,7.23E+12,3.39E+12,6.83E+12,5.56E+12,3.96E+11,6.51E+12,1.058,0.994,shp-60p-red
GISS,rlutcs,1.78E+11,3.20E+11,9.70E+10,6.13E+11,8.05E+10,6.91E+11,1.83,12.021,shp-60p-red
GISS,rsutcs,5.29E+12,4.56E+11,4.15E+12,2.10E+11,1.14E+12,5.02E+11,1.274,0.127,shp-60p-red
GISS,net_rad,6.26E+12,3.45E+12,6.81E+12,5.78E+12,-5.49E+11,6.73E+12,0.919,0.931,shp-60p-red
GISS,ICR,1.14E+12,3.49E+12,2.75E+12,5.82E+12,-1.61E+12,6.78E+12,0.416,1.544,shp-60p-red
NorESM2,rlut,1.31E+12,3.45E+12,4.90E+11,3.87E+12,8.21E+11,5.18E+12,2.675,22.232,shp-60p-red
NorESM2,rsut,3.70E+12,1.96E+12,7.21E+12,2.22E+12,-3.50E+12,2.96E+12,0.514,0.314,shp-60p-red
NorESM2,rlutcs,1.17E+10,6.27E+11,1.80E+11,1.10E+12,-1.68E+11,1.26E+12,0.065,3.506,shp-60p-red
NorESM2,rsutcs,1.30E+12,3.33E+11,1.16E+12,3.05E+11,1.35E+11,4.52E+11,1.116,0.41,shp-60p-red
NorESM2,net_rad,5.01E+12,3.96E+12,7.70E+12,4.46E+12,-2.68E+12,5.97E+12,0.651,0.638,shp-60p-red
NorESM2,ICR,3.71E+12,4.03E+12,6.36E+12,4.60E+12,-2.65E+12,6.11E+12,0.583,0.761,shp-60p-red
