"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1147403984950.83,2453647523022.4,1877367091565.47,-64633797927.6471,648230676312.028,-165341995647.956,-425027766560.337
"2","rsut",-10282165753438.7,-5742522939450.72,-4144645038037.66,-575649058278.741,-6109800416843.07,-5016410572682.94,-4967643014405.06
"3","rlutcs",219608816606.888,-416248360555.611,548263383957.256,2704144999.59089,558602217418.236,44195031433.2945,-536718207511.637
"4","rsutcs",-1047750584675.57,-1623251259498.94,-1472208908831.14,-842985035492.523,-3361783001144.74,-2681921690312.07,-898289118690.254
"5","net_rad",-9134761768487.88,-3288875416428.33,-2267277946472.19,-640282856206.388,-5461569740531.04,-5181752568330.9,-5392670780965.39
