"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1247069743194.28,6899144402005.56,5861541954195.26,459734247496.455,1774869508757.75,2282561535060.24,11466367049188.9
"2","rsut",3746443451533.62,14179051628337.2,3551328348333.79,2026690772319.51,6677805196095.73,1553306667192.81,7348777499722.26
"3","rlutcs",585629223957.935,1841798394985.74,2582187318716.9,44157751191.1522,1534255974011.5,785106633746.65,1643309702134.26
"4","rsutcs",873686596278.008,875684663765.668,607424750038.077,128388043428.272,997984100604.087,412720298837.658,689981285162.049
"5","net_rad",4993513194727.9,21078196030342.7,9412870302529.05,2486425019815.97,8452674704853.48,3835868202253.05,18815144548911.2
