"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-747616894503.415,-6815840417247.25,-839293974397.969,-82137284664.8167,2322568146087.19,-813967098477.486,1239193172378.92
"2","rsut",12843503779483.5,16928725005134.7,7524540489845.83,1136831263257.89,3874362556308.85,6058507539733.86,3501556546619.51
"3","rlutcs",-56672758072.9164,-941571156824.92,-55083479854.8799,-16830399358.0506,680982000162.733,-148849251115.577,11059337228.2581
"4","rsutcs",1523623136874.62,2370929411444.67,2685700735843.03,1218654877956.35,1786411550494.08,4433902512182.21,1224454045022.32
