"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-281562925997.518,2637851455346.5,-1899591892575.41,91719854107.8038,2156955856047.24,-803594070191.18,-4189006658009.85
"2","rsut",-185691094718.277,2813146191275.25,-513006906308.025,-1088447844735.84,-1216955211296.25,-2804657241830.48,2198203974959.61
"3","rlutcs",40293371137.9307,644681855397.796,-380760833409.427,5286438572.48355,1458627486195.2,-119764718737.391,-484269605026.972
"4","rsutcs",78426412273.1471,86164270007.4815,-23914237659.3555,10799346170.7766,105567529242.368,314854156656.666,151995173004.958
"5","net_rad",-467254020715.796,5450997646621.75,-2412598798883.44,-996727990628.033,940000644750.984,-3608251312021.66,-1990802683050.25
