"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",366492150273.881,NA,1352952476788.35,57281468542.509,3372392133369.22,189085092829.849,1563090093469.1
"2","rsut",1562045673893.19,NA,1316163787314.33,126212618231.474,4451979977102.63,873349016908.087,1615532154434.54
"3","rlutcs",200224491212.325,NA,330887496181.296,3645010374.06267,771212107481.331,65377578175.2257,346689454723.123
"4","rsutcs",78740592184.0701,NA,55094581282.8345,16886979330.3366,322863752916.769,27755718484.1043,36629240796.3763
"5","net_rad",1928537824167.07,NA,2669116264102.69,183494086773.983,7824372110471.85,1062434109737.94,3178622247903.64
