"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1727497370685.14,-19644946855533.1,-5217965647691.89,-150573172699.874,1751219685767.21,-1071811022262.95,1363491227544.28
"2","rsut",33657658874762.7,50077372510723.5,21308100686108.7,2400317239662.14,11721088492710.5,15813184296122.3,12780062601138.8
"3","rlutcs",148476965046.377,-3596459256031.11,-35777162681.7946,-40700974062.0692,1424014617119.04,-354054256598.084,211547053064.069
"4","rsutcs",2605884303438.47,5723286384583.37,5785952667659.75,2974243391742.88,4499767803400.97,10582111677184.4,3063227948188.59
"5","net_rad",31930161504077.6,30432425655190.4,16090135038416.8,2249744066962.26,13472308178477.7,14741373273859.3,14143553828683.1
