"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1082052586729.9,6464981148736.07,1871249370521.18,293544039499.522,8658792461255.66,2152140375146.6,5578850277005.16
"2","rsut",5559986504659.58,7206205276625.42,5149283619881.45,714459131219.244,10244527657388.6,6973989053302.11,3336346927436.77
"3","rlutcs",725537652271.136,2422449874505.54,1286742837091.72,18393726412.0506,1285462731715.29,816085975988.709,1535439648510.92
"4","rsutcs",1168541338861.54,894014816261.86,1003805158503.49,302513860291.348,429334685534.549,696007695825.287,760691621765.384
"5","net_rad",6642039091389.48,13671186425361.5,7020532990402.64,1008003170718.77,18903320118644.3,9126129428448.71,8915197204441.93
