"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1525495813260.29,5081275904760.3,3936373862073.78,292909968223.009,7334247635886.48,1402067172070.15,3395732861439.92
"2","rsut",5007681006852.92,2854898064546.75,4680862395747.51,1312366913113.8,10244527657388.6,2252237138578.3,2432078660265.67
"3","rlutcs",522140393042.458,2299968395014.49,1607829921862.61,21455613421.0588,1894234928784.97,520177768200.595,675801936713.823
"4","rsutcs",767214081278.849,661965424561.49,524424437551.204,125124658446.393,614774780763.549,428345498967.545,429006673091.563
"5","net_rad",6533176820113.21,7936173969307.05,8617236257821.29,1605276881336.81,17578775293275.1,3654304310648.45,5827811521705.59
