"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-203006516894.588,-2674876854550.58,-1227454232568.9,41851931856.8854,-621790682858.885,-137556998141.605,-177523360864.391
"2","rsut",1036912911763.31,2786599936495.05,2143131884986.29,92764712889.7633,1677059798438.4,1522312789492.5,899952511321.723
"3","rlutcs",-50617050878.3002,-300669379670.074,-72268608092.8957,-905392439.00873,-178660155351.214,-63598049036.4564,49939952976.2579
"4","rsutcs",361638872986.885,392670827037.409,360539909363.154,145797863279.788,434760590894.26,599533539128.815,242183199163.548
"5","net_rad",833906394868.726,111723081944.462,915677652417.394,134616644746.649,1055269115579.52,1384755791350.9,722429150457.333
