"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",169622813687.803,1240337942835.76,-1979719327977.82,-28485419203.689,-391230951051.265,233831555320.749,890289613041.429
"2","rsut",-211286576365.321,-559097511124.231,1986563515191.11,-28983884303.5306,315653350358.239,-478931184128.806,-578291174766.591
"3","rlutcs",61710113317.9215,252665567207.983,-371937288444.579,-1219359445.23235,47781464157.7525,48078952393.0844,195104013557.971
"4","rsutcs",50373035078.6576,-27466295039.771,-96614550.1427249,11490496764.3128,90453948287.8038,7036711795.37458,4200236433.73546
"5","net_rad",-41663762677.5179,681240431711.531,6844187213.29346,-57469303507.2196,-75577600693.0266,-245099628808.057,311998438274.838
