"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1893219796628.75,NA,1060722912304.07,328273499798.877,4800741688188.58,1291646467384.18,5187623340120.61
"2","rsut",2689732242422.16,NA,3795528107028.69,577779302409.291,5573369068748.78,2282872370435.21,4875798139716.79
"3","rlutcs",711464473568.597,NA,801536559973.649,20087323975.5129,1271158111413.72,556784153590.264,1295555795530.39
"4","rsutcs",392102038016.789,NA,322287765567.288,79736002285.6879,214252504887.51,167448805180.526,299235181432.733
"5","net_rad",4582952039050.91,NA,4856251019332.76,906052802208.168,10374110756937.4,3574518837819.39,10063421479837.4
