"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",795001065959.952,6642779099480.6,3243576507932.47,174777877936.255,3111755767733.46,1050672042856.97,2815447048912.69
"2","rsut",4329497729170.7,5991757742463.09,3808470248919.64,274102119900.452,6294781183921.99,5194573449538.03,3207680937997.72
"3","rlutcs",535911854159.858,1677808841645.83,1344008716572.19,6434463954.19757,665322490729.048,389998895813.735,1120580191097.46
"4","rsutcs",126152035163.138,394700976378.76,342174931604.736,82226811020.2138,508258294392.862,188038622990.374,131472176341.223
"5","net_rad",5124498795130.65,12634536841943.7,7052046756852.11,448879997836.707,9406536951655.44,6245245492395,6023127986910.41
