"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1419364359875.03,3562143386039.66,1275885692037.06,-9722743139.1705,1322549058963.72,729684891875.266,-5818113396091.12
"2","rsut",-339427188278.208,-3368505766981.28,2945768761557.26,-95754257558.2751,716569859254.159,524660608176.02,-1452578565775.49
"3","rlutcs",-753421732393.211,247883775721.907,567797990332.837,-3255758011.22272,-337546841645.247,250700585945.802,-1054459882028.03
"4","rsutcs",249136248709.166,1130485434010.58,144801640852.626,65694568924.9594,-432224780544.897,590198088356.753,-306887265877.847
"5","net_rad",-1758791548153.24,193637619058.379,4221654453594.32,-105477000697.446,2039118918217.88,1254345500051.29,-7270691961866.61
