"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",414547446177.829,5786466717147.51,1999884808595.99,188925152578.725,3502949478323.65,529354099592.374,4824176729178.27
"2","rsut",3030484026038.22,6279963083131.12,2903915992028.81,713394184163.243,2261831167708.77,1173144683362.69,1706672867620.66
"3","rlutcs",160936311842.509,1618928231710.18,607938970022.17,18227888625.3563,1020036114899.2,220375720437.137,884590898979.31
"4","rsutcs",127524815520.313,412202370025.364,243640994500.76,70719583729.9825,523858156863.448,418440643646.589,380627420136.134
"5","net_rad",3445031472216.05,12066429800278.6,4903800800624.79,902319336741.968,5764780646032.42,1702498782955.06,6530849596798.93
