"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",1319526729365.64,2821825013894.97,1760332902552.91,-70315386773.0061,645164242543.633,-197248571587.253,-446564020002.62
"2","rsut",-11824013539917.5,-6604284703067.4,-3886304387849.08,-624569053171.52,-6108913654094.2,-5984556936071.84,-5255333548037.17
"3","rlutcs",252711355375.084,-478710866051.493,514086267513.018,2920522480.92945,557799844094.974,52725291885.8059,-567761906937.568
"4","rsutcs",-1204946042348.94,-1866845005831.3,-1380441352583.79,-915127060531.655,-3361635591885.61,-3199526034341.59,-950017805311.103
"5","net_rad",-10504486810551.9,-3782459689172.43,-2125971485296.18,-694884439944.526,-5463749411550.57,-6181805507659.09,-5701897568039.79
