"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",3064275355873.28,4489221978394.56,3777660842079.45,157135590974.596,2542605477868.26,1211247623569.83,7441367825826.84
"2","rsut",8303234631901.07,5802731775174.88,4826705057947.74,472894054809.14,5957501016969.71,3905451201391.73,7759786628119.56
"3","rlutcs",952854018063.954,2054604469399.11,1530379348175.87,47539438495.9479,1657101718414.66,646415012434.778,2778370657747.58
"4","rsutcs",546581312977.116,749276668736.64,974379278614.092,45626827717.3145,523487772934.634,420898139135.178,771149020384.697
"5","net_rad",11367509987774.3,10291953753569.4,8604365900027.2,630029645783.736,8500106494837.97,5116698824961.56,15201154453946.4
