"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-210705402943.289,2126994565278.32,-4077543658164.88,-162424464109.135,-3518949077634.95,629039788097.921,4964638009651.56
"2","rsut",6625425119169.53,5862202807081.97,4936480534009.42,26063380176.791,3823884586776.66,-756883096392.153,-739793790472.432
"3","rlutcs",202170212392.716,-1076655261257.15,-1377687417510.74,-14305871289.4515,-307350758938.557,57578378341.8446,699139537060.744
"4","rsutcs",595976779251.976,1414416884570.95,-375037700230.755,154906916956.943,742311125007.479,373376489783.001,482629475799.323
"5","net_rad",6414719716226.24,7989197372360.29,858936875844.542,-136361083932.344,304935509141.71,-127843308294.232,4224844219179.13
