"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1738723857550.9,-434350824967.457,-2396827139520.05,50218507458.9046,-2405702427435.97,-280126631630.053,714598633316.379
"2","rsut",5935786750226.01,6898944367596.96,7946967676319.99,433683159979.64,789356748858.992,3876004190610.34,-1071399397061.87
"3","rlutcs",-636304751327.45,-163132848941.63,-459696318568.745,-386183157.959177,-1647130585926.04,-517277947992.583,600295044775.136
"4","rsutcs",422142082662.088,1783712202290.04,796047469017.685,424356661085.376,722613051726.409,1407630503065.3,236754698912.473
"5","net_rad",4197062892675.11,6464593542629.5,5550140536799.94,483901667438.545,-1616345678576.98,3595877558980.29,-356800763745.488
