"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1015030131174.36,-3442701754374.98,-2907123739794.76,-54131784089.7568,-721675817345.18,330975355794.224,-369393926298.129
"2","rsut",10214002170727.5,6724055011528.38,5396346818847.34,406459441189.361,5291588936227.8,3106839112165.61,2344876890743.7
"3","rlutcs",-191960883621.385,-1349593464376.16,-721577339130.428,-3583674683.81271,766373474499.962,-50325859781.3573,-609888939992.082
"4","rsutcs",441098518204.028,1026590835649.9,1047549943442.6,645894806066.196,769580380176.819,1884054209465.24,549475935427.734
"5","net_rad",9198972039553.13,3281353257153.4,2489223079052.58,352327657099.605,4569913118882.62,3437814467959.84,1975482964445.57
