"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",-1151029164225.47,-2743520532344.64,-1581799451200.73,-161473091274.241,-1686422491728.64,-46827036090.8865,2116086800894.45
"2","rsut",12513505266312.5,11318520882733.3,3877741886321.79,559856743200.725,5886664704257.08,2518269067632.8,2391440307640.05
"3","rlutcs",43805455588.2325,-1270960594369.28,-945319888138.93,-6910442448.32872,500918219754.21,-75966711018.3137,266842123510.603
"4","rsutcs",642165637648.719,930540704221.037,716331491477.231,573647666782.762,1349693420067.45,1735927925356.3,801932692722.345
"5","net_rad",11362476102087.1,8575000350388.71,2295942435121.06,398383651926.484,4200242212528.44,2471442031541.91,4507527108534.5
