"","variables","CAM5ATRAS","CESM1","E3SM","GEOS","GFDL","GISS","NorESM2"
"1","rlut",2602894205758.97,821709190803.903,3384533901264.55,219825558812.971,5304727497348.24,931709183635.825,4618700868525.43
"2","rsut",6270605174459.57,4077761298252.58,3344966769725.18,379833178033.387,6487913629014.97,1942342337682.52,4863064926779.46
"3","rlutcs",971065750370.317,977424290729.191,1305949477558.21,26712757243.1261,1875858316271.83,327658597762.305,1731394409312.06
"4","rsutcs",241709182543.933,197957396897.335,310050399558.957,76388821529.8206,308494441590.248,175785043598.856,328627207255.398
"5","net_rad",8873499380218.55,4899470489056.49,6729500670989.73,599658736846.358,11792641126363.2,2874051521318.35,9481765795304.89
